model,subject,log_evidence,nll
rw,27,176.541818768861,-176.541818768861
rw,28,160.532818138899,-160.532818138899
rw,29,222.752824618912,-222.752824618912
rw,30,143.019737177392,-143.019737177392
rw,31,200.931128083299,-200.931128083299
rw,32,210.869257903122,-210.869257903122
rw,33,112.602905135845,-112.602905135845
rw,36,142.267935257212,-142.267935257212
rw,37,164.869287478602,-164.869287478602
rw,38,163.99608411772,-163.99608411772
rw,39,100.070576571303,-100.070576571303
rw,41,158.40783947092,-158.40783947092
rw,42,116.140078977969,-116.140078977969
rw,43,150.786709518828,-150.786709518828
rw,44,144.568912046067,-144.568912046067
